BPUIC1;BPUIC2;NUM_CONNECTIONS;AVG_DURATION
8503000;8500010;88;63.81
8503000;8500090;14;81.36
8500010;8500090;67;6.07
8500090;8500010;67;6.39
8500090;8503000;10;100.0
8500010;8503000;90;65.47
8503424;8500090;17;73.18
8500090;8503424;18;72.39
8506286;8506271;34;3.0
8506286;8506285;34;5.0
8506286;8506284;34;8.0
8506286;8506283;34;14.0
8506286;8506282;34;17.0
8506286;8506281;34;22.0
8506286;8506280;34;25.0
8506286;8506290;34;30.0
8506286;8506210;34;38.0
8506271;8506285;34;2.0
8506271;8506284;34;5.0
8506271;8506283;34;11.0
8506271;8506282;34;14.0
8506271;8506281;34;19.0
8506271;8506280;34;22.0
8506271;8506290;34;27.0
8506271;8506210;34;35.0
8506285;8506284;34;3.0
8506285;8506283;34;9.0
8506285;8506282;34;12.0
8506285;8506281;34;17.0
8506285;8506280;34;20.0
8506285;8506290;34;25.0
8506285;8506210;34;33.0
8506284;8506283;34;6.0
8506284;8506282;34;9.0
8506284;8506281;34;14.0
8506284;8506280;34;17.0
8506284;8506290;34;22.0
8506284;8506210;34;30.0
8506283;8506282;34;2.0
8506283;8506281;34;7.0
8506283;8506280;34;10.0
8506283;8506290;34;15.0
8506283;8506210;34;23.0
8506282;8506281;34;5.0
8506282;8506280;34;8.0
8506282;8506290;34;13.0
8506282;8506210;34;21.0
8506281;8506280;34;3.0
8506281;8506290;34;8.0
8506281;8506210;34;16.0
8506280;8506290;34;5.0
8506280;8506210;34;13.0
8506290;8506210;34;6.0
8506210;8506290;34;7.0
8506210;8506280;34;9.0
8506210;8506281;34;13.0
8506210;8506282;34;18.0
8506210;8506283;34;22.0
8506210;8506284;34;27.0
8506210;8506285;34;29.0
8506210;8506271;34;31.0
8506210;8506286;34;39.0
8506210;8506275;18;42.0
8506210;8506288;18;44.0
8506210;8506277;18;46.0
8506210;8506289;18;52.0
8506290;8506280;34;2.0
8506290;8506281;34;6.0
8506290;8506282;34;11.0
8506290;8506283;34;15.0
8506290;8506284;34;20.0
8506290;8506285;34;22.0
8506290;8506271;34;24.0
8506290;8506286;34;32.0
8506290;8506275;18;35.0
8506290;8506288;18;37.0
8506290;8506277;18;39.0
8506290;8506289;18;45.0
8506280;8506281;34;4.0
8506280;8506282;34;9.0
8506280;8506283;34;13.0
8506280;8506284;34;18.0
8506280;8506285;34;20.0
8506280;8506271;34;22.0
8506280;8506286;34;30.0
8506280;8506275;18;33.0
8506280;8506288;18;35.0
8506280;8506277;18;37.0
8506280;8506289;18;43.0
8506281;8506282;34;5.0
8506281;8506283;34;9.0
8506281;8506284;34;14.0
8506281;8506285;34;16.0
8506281;8506271;34;18.0
8506281;8506286;34;26.0
8506281;8506275;18;29.0
8506281;8506288;18;31.0
8506281;8506277;18;33.0
8506281;8506289;18;39.0
8506282;8506283;34;4.0
8506282;8506284;34;9.0
8506282;8506285;34;11.0
8506282;8506271;34;13.0
8506282;8506286;34;21.0
8506282;8506275;18;24.0
8506282;8506288;18;26.0
8506282;8506277;18;28.0
8506282;8506289;18;34.0
8506283;8506284;34;5.0
8506283;8506285;34;7.0
8506283;8506271;34;9.0
8506283;8506286;34;17.0
8506283;8506275;18;20.0
8506283;8506288;18;22.0
8506283;8506277;18;24.0
8506283;8506289;18;30.0
8506284;8506285;34;2.0
8506284;8506271;34;4.0
8506284;8506286;34;12.0
8506284;8506275;18;15.0
8506284;8506288;18;17.0
8506284;8506277;18;19.0
8506284;8506289;18;25.0
8506285;8506271;34;2.0
8506285;8506286;34;10.0
8506285;8506275;18;13.0
8506285;8506288;18;15.0
8506285;8506277;18;17.0
8506285;8506289;18;23.0
8506271;8506286;34;8.0
8506271;8506275;18;11.0
8506271;8506288;18;13.0
8506271;8506277;18;15.0
8506271;8506289;18;21.0
8506286;8506275;18;2.0
8506286;8506288;18;4.0
8506286;8506277;18;6.0
8506286;8506289;18;12.0
8506275;8506288;18;2.0
8506275;8506277;18;4.0
8506275;8506289;18;10.0
8506288;8506277;18;2.0
8506288;8506289;18;8.0
8506277;8506289;18;6.0
8506289;8506277;18;2.0
8506289;8506288;18;5.0
8506289;8506275;18;7.0
8506289;8506286;18;11.0
8506289;8506271;18;15.0
8506289;8506285;18;17.0
8506289;8506284;18;20.0
8506289;8506283;18;26.0
8506289;8506282;18;29.0
8506289;8506281;18;34.0
8506289;8506280;18;37.0
8506289;8506290;18;42.0
8506289;8506210;18;50.0
8506277;8506288;18;3.0
8506277;8506275;18;5.0
8506277;8506286;18;9.0
8506277;8506271;18;13.0
8506277;8506285;18;15.0
8506277;8506284;18;18.0
8506277;8506283;18;24.0
8506277;8506282;18;27.0
8506277;8506281;18;32.0
8506277;8506280;18;35.0
8506277;8506290;18;40.0
8506277;8506210;18;48.0
8506288;8506275;18;2.0
8506288;8506286;18;6.0
8506288;8506271;18;10.0
8506288;8506285;18;12.0
8506288;8506284;18;15.0
8506288;8506283;18;21.0
8506288;8506282;18;24.0
8506288;8506281;18;29.0
8506288;8506280;18;32.0
8506288;8506290;18;37.0
8506288;8506210;18;45.0
8506275;8506286;18;4.0
8506275;8506271;18;8.0
8506275;8506285;18;10.0
8506275;8506284;18;13.0
8506275;8506283;18;19.0
8506275;8506282;18;22.0
8506275;8506281;18;27.0
8506275;8506280;18;30.0
8506275;8506290;18;35.0
8506275;8506210;18;43.0
8506369;8506368;57;1.0
8506369;8506367;57;2.0
8506369;8506366;57;5.0
8506368;8506367;57;1.0
8506368;8506366;57;4.0
8506367;8506366;57;3.0
8506366;8506367;57;1.0
8506366;8506368;57;3.0
8506366;8506369;57;5.0
8506367;8506368;57;2.0
8506367;8506369;57;4.0
8506368;8506369;57;2.0
8506369;8506365;51;6.0
8506369;8506364;51;8.0
8506369;8506362;51;12.0
8506369;8506361;51;14.0
8506369;8518100;51;16.0
8506369;8506359;51;18.0
8506369;8506358;51;20.0
8506369;8506270;51;21.0
8506369;8506302;51;27.0
8506369;8519306;50;30.56
8506369;8506371;50;32.56
8506369;8506372;50;34.56
8506369;8506373;50;37.56
8506369;8506374;50;38.56
8506369;8506470;50;39.56
8506369;8506375;50;43.56
8506369;8506376;40;46.7
8506369;8506377;40;49.7
8506369;8506276;40;51.85
8506369;8506382;40;53.85
8506369;8506378;40;55.85
8506369;8506381;40;60.0
8506369;8506380;40;63.0
8506369;8506286;40;66.67
8506368;8506365;51;5.0
8506368;8506364;51;7.0
8506368;8506362;51;11.0
8506368;8506361;51;13.0
8506368;8518100;51;15.0
8506368;8506359;51;17.0
8506368;8506358;51;19.0
8506368;8506270;51;20.0
8506368;8506302;51;26.0
8506368;8519306;50;29.56
8506368;8506371;50;31.56
8506368;8506372;50;33.56
8506368;8506373;50;36.56
8506368;8506374;50;37.56
8506368;8506470;50;38.56
8506368;8506375;50;42.56
8506368;8506376;40;45.7
8506368;8506377;40;48.7
8506368;8506276;40;50.85
8506368;8506382;40;52.85
8506368;8506378;40;54.85
8506368;8506381;40;59.0
8506368;8506380;40;62.0
8506368;8506286;40;65.67
8506367;8506365;51;4.0
8506367;8506364;51;6.0
8506367;8506362;51;10.0
8506367;8506361;51;12.0
8506367;8518100;51;14.0
8506367;8506359;51;16.0
8506367;8506358;51;18.0
8506367;8506270;51;19.0
8506367;8506302;51;25.0
8506367;8519306;50;28.56
8506367;8506371;50;30.56
8506367;8506372;50;32.56
8506367;8506373;50;35.56
8506367;8506374;50;36.56
8506367;8506470;50;37.56
8506367;8506375;50;41.56
8506367;8506376;40;44.7
8506367;8506377;40;47.7
8506367;8506276;40;49.85
8506367;8506382;40;51.85
8506367;8506378;40;53.85
8506367;8506381;40;58.0
8506367;8506380;40;61.0
8506367;8506286;40;64.67
8506366;8506365;55;1.0
8506366;8506364;55;3.0
8506366;8506362;55;7.0
8506366;8506361;55;9.0
8506366;8518100;55;11.0
8506366;8506359;55;13.0
8506366;8506358;55;15.0
8506366;8506270;55;16.0
8506366;8506302;55;22.0
8506366;8519306;54;25.67
8506366;8506371;54;27.67
8506366;8506372;54;29.67
8506366;8506373;54;32.67
8506366;8506374;54;33.67
8506366;8506470;54;34.67
8506366;8506375;54;38.67
8506366;8506376;40;41.7
8506366;8506377;40;44.7
8506366;8506276;40;46.85
8506366;8506382;40;48.85
8506366;8506378;40;50.85
8506366;8506381;40;55.0
8506366;8506380;40;58.0
8506366;8506286;40;61.67
8506365;8506364;55;2.0
8506365;8506362;55;6.0
8506365;8506361;55;8.0
8506365;8518100;55;10.0
8506365;8506359;55;12.0
8506365;8506358;55;14.0
8506365;8506270;55;15.0
8506365;8506302;55;21.0
8506365;8519306;54;24.67
8506365;8506371;54;26.67
8506365;8506372;54;28.67
8506365;8506373;54;31.67
8506365;8506374;54;32.67
8506365;8506470;54;33.67
8506365;8506375;54;37.67
8506365;8506376;40;40.7
8506365;8506377;40;43.7
8506365;8506276;40;45.85
8506365;8506382;40;47.85
8506365;8506378;40;49.85
8506365;8506381;40;54.0
8506365;8506380;40;57.0
8506365;8506286;40;60.67
8506364;8506362;55;4.0
8506364;8506361;55;6.0
8506364;8518100;55;8.0
8506364;8506359;55;10.0
8506364;8506358;55;12.0
8506364;8506270;55;13.0
8506364;8506302;55;19.0
8506364;8519306;54;22.67
8506364;8506371;54;24.67
8506364;8506372;54;26.67
8506364;8506373;54;29.67
8506364;8506374;54;30.67
8506364;8506470;54;31.67
8506364;8506375;54;35.67
8506364;8506376;40;38.7
8506364;8506377;40;41.7
8506364;8506276;40;43.85
8506364;8506382;40;45.85
8506364;8506378;40;47.85
8506364;8506381;40;52.0
8506364;8506380;40;55.0
8506364;8506286;40;58.67
8506362;8506361;55;2.0
8506362;8518100;55;4.0
8506362;8506359;55;6.0
8506362;8506358;55;8.0
8506362;8506270;55;9.0
8506362;8506302;55;15.0
8506362;8519306;54;18.67
8506362;8506371;54;20.67
8506362;8506372;54;22.67
8506362;8506373;54;25.67
8506362;8506374;54;26.67
