BPUIC1;BPUIC2;DISTANCE_GEODESIC;DISTANCE_EXACT
8504123;8504134;2.3318;2.2885
8501577;8501578;2.7476;
8505000;8508219;4.0451;
8505007;8505111;5.6089;5.8582
8509055;8509054;1.7123;
8506307;8506306;2.7543;2.8546
8504073;8504074;1.9325;
8530260;8504391;1.0373;
8507071;8507070;2.8175;
8501066;8501056;0.7142;
8508174;8508182;0.9276;
8505303;8505302;3.2602;3.8008
8509193;8509192;3.6944;
8500207;8500206;0.8608;0.9644
8503126;8503127;2.6792;2.6801
8502216;8502215;3.8469;3.9158
8500025;8500026;1.9364;1.954
8502189;8502103;1.1248;
8506281;8506282;3.0811;
8509187;8509186;3.7771;
8508086;8508087;2.5363;
8502110;8502111;2.4493;2.7324
8508174;8508183;1.6498;
8506375;8506470;0.7433;
8501169;8587727;0.8863;
8504065;8504066;2.3174;
8506276;8506382;1.1849;
8508005;8508083;1.1484;
8509359;8509361;2.2867;
8516274;8516273;2.4348;2.66
8505165;8505119;3.2336;
8501155;8501156;1.4105;
8503056;8503057;1.1923;
8503463;8503424;2.3354;
8501112;8501111;2.1761;2.2154
8502034;8502033;2.3072;2.3114
8501107;8501108;4.3696;4.8174
8501400;8501304;5.4392;5.4712
8506209;8506210;4.789;5.1988
8503304;8506000;5.4564;5.6469
8508265;8508266;2.4004;
8503099;8503089;1.0913;
8509257;8509258;2.2766;
8507003;8507005;4.9489;5.0797
8500275;8500283;0.5467;
8509184;8509183;1.8663;
8509070;8509071;2.3074;
8501113;8501112;2.5805;2.5806
8503421;8518924;4.327;
8503340;8503006;2.4435;
8504060;8504061;1.7989;
8502002;8502001;3.0126;3.0136
8505597;8505599;1.3578;
8501375;8501374;0.9631;
8507388;8507389;4.3374;
8508151;8594258;0.5292;
8503506;8503511;2.591;2.6796
8503109;8503112;2.3348;2.4283
8506178;8506206;3.5378;
8506377;8506376;1.302;
8507293;8507294;3.1149;
8500172;8500173;1.8577;
8501562;8501561;2.067;
8501604;8501605;6.3086;6.5689
8503106;8503107;2.6416;2.8383
8503306;8503129;2.225;2.682
8503504;8503503;4.4298;4.9015
8501575;8501573;2.0349;
8505174;8505173;2.972;
8506023;8506024;5.3553;7.407
8501672;8501729;1.0301;
8503313;8503312;1.997;2.1446
8506184;8506185;2.1725;2.8023
8504223;8504224;1.9293;1.9495
8504072;8504071;1.1933;
8508163;8508164;0.5067;
8501472;8501473;2.4035;
8502025;8502026;3.3111;3.4322
