BPUIC1;BPUIC2;NUM_CONNECTIONS;AVG_DURATION
8503000;8500010;36;54.0
8500010;8500090;67;6.07
8500090;8500010;67;6.39
8500010;8503000;39;57.87
8506286;8506271;34;3.0
8506271;8506285;34;2.0
8506285;8506284;34;3.0
8506284;8506283;34;6.0
8506283;8506282;34;2.0
8506282;8506281;34;5.0
8506281;8506280;34;3.0
8506280;8506290;34;5.0
8506290;8506210;34;6.0
8506210;8506290;34;7.0
8506290;8506280;34;2.0
8506280;8506281;34;4.0
8506281;8506282;34;5.0
8506282;8506283;34;4.0
8506283;8506284;34;5.0
8506284;8506285;34;2.0
8506285;8506271;34;2.0
8506271;8506286;34;8.0
8506286;8506275;18;2.0
8506275;8506288;18;2.0
8506288;8506277;18;2.0
8506277;8506289;18;6.0
8506289;8506277;18;2.0
8506277;8506288;18;3.0
8506288;8506275;18;2.0
8506275;8506286;18;4.0
8506369;8506368;57;1.0
8506368;8506367;57;1.0
8506367;8506366;57;3.0
8506366;8506367;57;1.0
8506367;8506368;57;2.0
8506368;8506369;57;2.0
8506366;8506365;55;1.0
8506365;8506364;55;2.0
8506364;8506362;55;4.0
8506362;8506361;55;2.0
8506361;8518100;55;2.0
8518100;8506359;55;2.0
8506359;8506358;55;2.0
8506358;8506270;55;1.0
8506270;8506302;55;6.0
8506302;8519306;54;1.0
8519306;8506371;54;2.0
8506371;8506372;54;2.0
8506372;8506373;54;3.0
8506373;8506374;54;1.0
8506374;8506470;54;1.0
8506470;8506375;54;4.0
8506375;8506376;40;3.0
8506376;8506377;40;3.0
8506377;8506276;40;2.0
8506276;8506382;40;2.0
8506382;8506378;40;2.0
8506378;8506381;42;3.0
8506381;8506380;42;3.0
8506380;8506286;42;3.69
8506286;8506380;41;2.0
8506380;8506381;41;3.0
8506381;8506378;41;4.0
8506378;8506382;40;0.0
8506382;8506276;40;2.0
8506276;8506377;40;4.0
8506377;8506376;40;2.0
8506376;8506375;40;4.0
8506375;8506470;54;2.0
8506470;8506374;54;1.0
8506374;8506373;54;1.0
8506373;8506372;54;2.0
8506372;8506371;54;3.0
8506371;8519306;54;2.0
8519306;8506302;54;5.02
8506302;8506270;55;2.0
8506270;8506358;55;2.0
8506358;8506359;55;2.0
8506359;8518100;55;1.0
8518100;8506361;55;2.0
8506361;8506362;55;3.0
8506362;8506364;55;3.0
8506364;8506365;55;2.0
8506365;8506366;55;2.0
8506378;8506383;13;2.0
8506383;8506384;13;1.0
8506384;8506385;13;1.0
8506385;8506386;13;2.0
8506386;8506387;13;4.0
8506387;8506388;13;2.0
8506388;8506389;13;3.0
8506389;8506379;13;8.0
8506379;8506389;13;4.0
8506389;8506388;13;2.0
8506388;8506387;13;1.0
8506387;8506386;13;3.0
8506386;8506385;13;1.0
8506385;8506384;13;1.0
8506384;8506383;13;1.0
8506383;8506378;13;7.0
8506378;8506377;2;5.0
8506377;8506375;2;6.0
8506375;8506373;2;4.0
8506373;8506302;2;10.0
8506302;8506373;2;7.0
8506373;8506375;2;4.0
8506375;8506377;2;5.0
8506377;8506378;2;5.0
8506350;8506351;25;5.0
8506351;8506313;25;4.0
8506313;8506351;25;1.0
8506351;8506350;25;5.0
8506100;8506171;39;2.0
8506171;8506179;39;2.0
8506179;8506173;39;3.0
8506173;8506174;39;3.0
8506174;8506175;39;2.0
8506175;8506169;39;1.0
8506169;8506176;39;2.0
8506176;8506177;48;2.0
8506177;8506170;48;3.0
8506170;8506178;48;1.19
8506178;8506206;48;7.44
8506206;8506178;48;4.0
8506178;8506170;48;2.0
8506170;8506177;48;2.19
8506177;8506176;48;3.81
8506176;8506169;39;1.0
8506169;8506175;39;1.0
8506175;8506174;39;3.0
8506174;8506173;39;2.0
8506173;8506179;39;3.0
8506179;8506171;39;2.0
8506171;8506100;39;4.0
8501463;8501229;59;2.0
8501229;8501462;35;2.0
8501462;8501726;35;2.0
8501726;8530366;35;1.0
8530366;8501452;35;1.0
8501452;8501458;35;2.0
8501458;8530355;35;2.0
8530355;8501461;35;3.0
8501461;8501400;35;6.0
8501448;8501466;25;2.0
8501466;8501453;25;4.0
8501453;8530463;25;1.0
8530463;8501465;25;3.0
8501465;8501454;25;3.0
8501454;8593467;25;1.0
8593467;8501464;25;4.0
8501464;8530430;25;1.0
8530430;8530378;25;1.0
8530378;8501460;25;1.0
8501460;8501456;25;4.88
8501456;8501457;25;2.0
8501457;8501229;25;4.0
8501229;8501463;60;2.37
8501400;8501461;35;5.0
8501461;8530355;35;1.0
8530355;8501458;35;2.0
8501458;8501452;35;2.0
8501452;8530366;35;1.0
8530366;8501726;35;2.0
8501726;8501462;35;2.0
8501462;8501229;35;2.0
8501229;8501457;24;4.0
8501457;8501456;24;2.0
8501456;8501460;24;3.08
8501460;8530378;24;1.0
8530378;8530430;24;1.0
8530430;8501464;24;2.92
8501464;8593467;24;2.0
8593467;8501454;24;2.0
8501454;8501465;24;5.0
8501465;8530463;24;2.0
8530463;8501453;24;1.0
8501453;8501466;24;4.0
8501466;8501448;24;3.0
8501400;8501554;42;3.14
8501554;8501484;24;2.0
8501484;8501485;24;2.0
8501485;8501179;24;1.0
8501179;8501480;24;7.0
8501480;8501199;24;2.0
8501199;8501481;24;4.0
8501481;8501725;24;2.0
8501725;8501482;24;3.0
8501482;8501483;23;2.0
8501483;8501482;23;5.0
8501482;8501725;24;2.0
8501725;8501481;24;4.0
8501481;8501199;24;4.0
8501199;8501480;24;4.0
8501480;8501179;24;6.0
8501179;8501485;24;2.0
8501485;8501484;24;5.0
8501484;8501554;24;2.0
8501554;8501400;42;4.57
8501479;8593774;18;1.0
8593774;8593773;18;1.0
8593773;8501477;18;1.0
8501477;8593776;18;1.0
8593776;8593775;18;1.0
8593775;8501476;18;1.0
8501476;8517485;18;2.0
8517485;8501475;18;2.0
8501475;8501473;18;6.0
8501473;8501474;36;2.5
8501474;8501473;36;2.5
8501473;8501472;18;5.0
8501472;8501471;18;5.0
8501471;8501470;18;8.0
8501470;8517484;18;3.0
8517484;8501468;18;2.0
8501468;8501554;18;2.0
8501554;8501468;18;2.0
8501468;8517484;18;2.0
8517484;8501470;18;3.0
8501470;8501471;18;8.0
8501471;8501472;18;4.0
8501472;8501473;18;5.0
8501473;8501475;18;5.0
8501475;8517485;18;2.0
8517485;8501476;18;2.0
8501476;8593775;18;1.0
8593775;8593776;18;1.0
8593776;8501477;18;1.0
8501477;8593773;18;1.0
8593773;8593774;18;1.0
8593774;8501479;18;1.0
8501495;8501494;19;4.0
8501494;8501727;19;1.0
8501727;8501493;19;4.0
8501493;8588193;19;2.0
8588193;8501492;19;5.0
8501492;8593772;19;1.0
8593772;8501491;19;4.0
8501491;8501490;19;5.0
8501490;8501488;17;9.0
8501488;8530246;17;1.0
8530246;8530067;17;1.0
8530067;8530066;17;1.0
8530066;8530064;17;1.0
8530064;8501487;17;2.0
8501487;8530523;17;2.0
8530523;8501402;17;3.0
8501488;8501490;17;7.0
8501490;8501491;19;2.0
8501491;8593772;19;1.0
8593772;8501492;19;4.11
8501492;8588193;19;2.0
8588193;8501493;19;3.0
8501493;8501727;19;3.0
8501727;8501494;19;2.0
8501494;8501495;19;3.0
8501402;8530523;17;1.0
8530523;8501487;17;3.0
8501487;8530064;17;2.0
8530064;8530066;17;1.0
8530066;8530067;17;1.0
8530067;8530246;17;1.0
8530246;8501488;17;1.0
8501495;8501447;34;2.03
8501447;8501497;34;5.0
8501497;8501446;34;2.0
8501446;8501498;34;5.03
8501498;8501499;34;4.18
8501499;8501498;34;4.0
8501498;8501446;34;3.0
8501446;8501497;34;5.0
8501497;8501447;34;6.0
8501447;8501495;34;3.94
8501096;8501095;34;4.0
8501095;8501085;34;2.0
8501085;8501094;34;4.0
8501094;8501083;34;1.0
8501083;8501082;34;1.0
8501082;8501093;34;3.0
8501093;8501092;34;3.0
8501092;8501080;34;1.0
8501080;8501091;34;2.0
8501091;8501081;34;3.0
8501081;8501090;34;2.0
8501090;8501054;34;1.0
8501054;8501037;34;4.0
8501037;8501054;34;1.0
8501054;8501090;34;1.0
8501090;8501081;34;2.0
8501081;8501091;34;2.0
8501091;8501080;34;1.0
8501080;8501092;34;2.0
8501092;8501093;34;3.0
8501093;8501082;34;2.0
8501082;8501083;34;1.0
8501083;8501094;34;4.0
8501094;8501085;34;3.0
8501085;8501095;34;2.0
8501095;8501096;34;6.0
8501094;8501084;13;1.0
8501084;8501097;13;3.0
8501097;8501087;13;1.0
8501087;8501088;13;2.0
8501088;8501098;13;3.0
8501098;8501089;18;2.0
8501089;8501099;18;2.0
8501099;8501089;18;1.0
8501089;8501098;18;3.0
8501098;8501088;13;2.0
8501088;8501087;13;2.0
8501087;8501097;13;2.0
8501097;8501084;13;2.0
8501084;8501094;13;2.0
8501094;8501097;5;4.0
8501097;8501098;5;5.0
8501098;8501097;5;5.0
8501097;8501094;5;4.0
8502273;8502276;2;6.0
8502276;8502277;2;3.0
8502277;8503508;2;9.0
8503508;8502277;1;8.0
8502277;8502276;1;5.0
8502276;8502273;1;8.0
8502213;8502271;41;2.0
8502271;8502269;41;1.0
8502269;8502272;41;5.0
8502272;8502185;71;1.0
8502185;8502248;71;1.0
8502248;8502273;71;1.56
8502273;8517377;70;1.0
8517377;8502274;70;1.0
8502274;8502188;70;2.0
8502188;8502275;70;2.0
8502275;8502268;70;1.0
8502268;8502276;70;2.03
8502276;8502187;69;2.0
8502187;8502277;69;1.0
8502277;8502278;69;2.0
8502278;8502186;69;2.0
8502186;8502270;69;1.0
8502270;8517376;69;1.0
8517376;8503508;69;3.96
8503508;8517376;69;1.0
8517376;8502270;69;1.0
8502270;8502186;69;1.0
8502186;8502278;69;2.0
8502278;8502277;69;3.0
8502277;8502187;69;1.0
8502187;8502276;69;2.0
8502276;8502268;69;1.0
8502268;8502275;69;1.0
8502275;8502188;69;2.0
8502188;8502274;69;1.0
8502274;8517377;69;2.0
8517377;8502273;69;1.57
8502273;8502248;71;1.0
8502248;8502185;71;1.0
8502185;8502272;71;2.0
8502272;8502269;40;2.0
8502269;8502271;40;3.0
8502271;8502213;40;3.95
8507379;8507560;45;5.0
8507560;8507378;45;5.0
8507378;8507560;45;4.0
8507560;8507379;45;6.02
8507384;8507389;33;8.97
8507389;8507388;64;5.0
8507388;8510470;64;1.0
8510470;8507492;64;3.97
8507492;8510470;64;2.0
8510470;8507388;64;2.0
8507388;8507389;64;6.0
8507389;8507384;32;9.0
8507380;8505226;32;3.0
8505226;8507381;32;2.0
8507381;8507382;33;2.03
8507382;8507383;33;6.0
8507383;8507389;32;6.0
8507389;8507383;32;4.0
8507383;8507382;32;5.0
8507382;8507381;32;3.0
8507381;8505226;32;3.0
8505226;8507380;32;6.0
8507380;8507381;1;5.0
8504466;8504465;34;4.0
8504465;8504464;34;2.0
8504464;8504463;34;4.0
8504463;8504475;56;2.0
8504475;8504474;56;1.0
8504474;8504462;56;3.0
8504462;8504472;56;1.0
8504472;8504470;56;2.0
8504470;8504471;56;1.0
8504471;8504469;56;1.0
8504469;8504461;56;2.0
8504461;8504300;56;4.0
8504483;8504468;33;2.91
8504468;8504467;33;4.0
8504467;8504466;33;2.0
8504300;8504461;56;2.0
8504461;8504469;56;1.0
8504469;8504471;56;1.0
8504471;8504470;56;1.0
8504470;8504472;56;2.0
8504472;8504462;56;3.0
8504462;8504474;56;2.0
8504474;8504475;56;1.0
8504475;8504463;56;3.0
8504463;8504464;33;2.0
8504464;8504465;33;2.0
8504465;8504466;33;3.0
8504466;8504467;33;3.0
8504467;8504468;33;4.0
8504468;8504483;33;3.0
8501281;8501266;50;1.0
8501266;8501265;50;1.0
8501265;8501264;50;1.0
8501264;8501280;50;2.0
8501280;8501263;50;1.0
8501263;8501262;50;1.0
8501262;8502476;50;1.0
8502476;8501200;50;6.0
8501200;8502476;50;3.0
8502476;8501262;50;2.0
8501262;8501263;50;1.0
8501263;8501280;50;3.0
8501280;8501264;50;1.0
8501264;8501265;50;1.0
8501265;8501266;50;1.0
8501266;8501281;50;3.0
8501281;8501282;20;2.0
8501282;8501283;20;1.0
8501283;8501284;20;2.0
8501284;8530261;16;1.0
8530261;8501285;16;2.0
8501285;8501286;16;2.0
8501286;8501287;16;2.12
8501287;8501286;16;3.88
8501286;8501285;16;2.0
8501285;8530261;16;3.0
8530261;8501284;16;1.0
8501284;8501283;20;1.8
8501283;8501282;20;3.0
8501282;8501281;20;5.5
8501287;8501288;14;4.0
8501288;8501287;14;3.0
8500170;8500162;28;1.0
8500162;8500100;28;10.0
8500100;8500162;28;7.0
8500162;8500170;28;1.96
8500170;8500164;19;3.0
8500164;8500171;19;2.89
8500171;8500165;19;1.0
8500165;8500172;19;3.0
8500172;8500173;19;2.42
8500173;8500167;21;1.0
8500167;8500174;21;7.52
8500174;8500167;21;4.95
8500167;8500173;21;2.05
8500173;8500172;19;2.05
8500172;8500165;19;2.0
8500165;8500171;19;4.16
8500171;8500164;19;2.0
8500164;8500170;19;4.74
8500191;8500169;29;1.0
8500169;8500190;29;2.0
8500190;8500174;29;3.9
8500174;8500175;23;2.74
8500175;8500176;23;1.26
8500176;8500177;23;3.0
8500177;8500180;22;1.0
8500180;8500181;22;2.0
8500181;8500178;22;2.0
8500178;8500179;22;2.41
8500179;8500184;22;6.27
8500184;8504314;22;7.23
8500174;8500190;28;2.0
8500190;8500169;28;1.0
8500169;8500191;28;3.93
8500191;8500192;16;1.0
8500192;8500194;16;4.0
8500194;8500195;16;3.0
8500195;8500196;16;3.94
8500196;8500199;16;7.0
8500199;8500123;16;9.88
8504314;8500184;22;2.0
8500184;8500179;22;4.82
8500179;8500178;22;3.55
8500178;8500181;22;1.0
8500181;8500180;22;1.0
8500180;8500177;22;3.0
8500177;8500176;23;2.0
8500176;8500175;23;2.0
8500175;8500174;23;5.22
8500123;8500199;16;6.0
8500199;8500196;16;8.94
8500196;8500195;16;2.0
8500195;8500194;16;5.0
8500194;8500192;16;3.0
8500192;8500191;16;5.0
8500188;8500187;23;3.0
8500187;8500186;23;6.0
8500186;8500126;26;5.0
8500126;8500186;26;4.0
8500186;8500187;23;6.0
8500187;8500188;23;4.0
8504316;8530260;20;0.0
8530260;8504391;20;0.0
8504391;8504392;20;5.0
8504392;8504391;20;3.0
8504391;8530260;20;0.0
8530260;8504316;20;3.0
8504511;8530713;59;0.0
8530713;8595245;59;0.54
8595245;8530712;59;0.0
8530712;8504325;59;0.81
8504325;8530711;59;0.0
8530711;8504510;59;1.2
8504510;8530710;58;1.0
8530710;8504509;58;1.91
8504509;8530709;58;0.0
8530709;8530708;58;1.0
8530708;8504398;58;4.31
8504398;8530708;58;0.0
8530708;8530709;58;0.0
8530709;8504509;58;1.9
8504509;8530710;58;0.0
8530710;8504510;58;2.98
8504510;8530711;59;0.0
8530711;8504325;59;1.19
8504325;8530712;59;0.0
8530712;8595245;59;2.24
8595245;8530713;59;0.0
8530713;8504511;59;2.17
8504510;8504398;1;6.0
8504398;8504510;1;6.0
8504388;8530225;18;0.0
8530225;8504387;18;0.0
8504387;8530012;18;0.0
8530012;8504386;18;1.0
8504386;8530011;18;0.0
8530011;8504385;18;2.17
8504385;8504384;18;1.0
8504384;8504383;18;2.11
8504383;8504382;17;2.0
8504382;8504381;17;2.0
8504381;8504314;17;3.0
8504314;8504381;17;0.0
8504381;8504382;17;2.0
8504382;8504383;17;1.94
8504383;8504384;17;2.0
8504384;8504385;17;3.06
8504385;8530011;17;1.0
8530011;8504386;17;0.0
8504386;8530012;17;0.0
8530012;8504387;17;0.0
8504387;8530225;17;0.0
8530225;8504388;17;3.18
8505398;8505397;66;3.0
8505397;8505396;66;2.0
8505396;8505392;66;1.0
8505392;8505395;66;4.0
8505395;8505390;66;3.0
8505390;8505394;66;1.0
8505394;8530789;66;1.0
8530789;8505393;66;6.0
8505393;8530790;66;1.0
8530790;8505399;66;1.0
8505399;8505300;66;3.0
8505300;8505399;66;2.0
8505399;8530790;66;1.0
8530790;8505393;66;3.0
8505393;8530789;66;4.0
8530789;8505394;66;2.0
8505394;8505390;66;1.0
8505390;8505395;66;3.0
8505395;8505392;66;3.0
8505392;8505396;66;2.0
8505396;8505397;66;1.0
8505397;8505398;66;4.0
8509179;8505180;14;3.0
8505180;8505179;14;3.0
8505179;8505178;14;2.0
8505178;8505177;14;5.0
8505177;8505176;14;3.86
8505176;8505175;26;2.04
8505175;8505174;26;2.96
8505174;8505175;26;2.0
8505175;8505176;26;3.58
8505176;8505177;14;2.0
8505177;8505178;14;5.86
8505178;8505179;14;3.0
8505179;8505180;14;4.0
8505180;8509179;14;7.71
8501661;8505163;15;21.0
8505163;8505164;24;8.0
8505164;8505165;24;6.33
8501609;8501677;31;4.1
8501677;8501676;31;4.97
8501676;8501675;31;5.45
8501675;8501674;31;3.03
8501674;8501673;31;7.0
8501673;8501729;31;3.0
8501729;8501672;31;2.0
8501672;8501671;15;6.0
8501671;8501670;15;6.0
8501670;8501669;15;3.0
8501669;8501668;15;2.0
8501668;8501667;15;2.0
8501667;8501666;15;3.0
8501666;8501665;15;4.0
